"MSSubClass","MSZoning","LotArea","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","ExterQual","ExterCond","Foundation","BsmtQual","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","TotalBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","MoSold","YrSold","SaleCondition","SalePrice"
60,"RL",8450,"CollgCr","1Fam","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",856,854,1710,4,3,"Gd",8,0,"Attchd",2,2008,"Normal",208500
20,"RL",9600,"Veenker","1Fam","1Story",6,8,1976,1976,"TA","TA","CBlock","Gd","Ex","Y","SBrkr",1262,0,1262,3,3,"TA",6,1,"Attchd",5,2007,"Normal",181500
60,"RL",11250,"CollgCr","1Fam","2Story",7,5,2001,2002,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",920,866,1786,4,3,"Gd",6,1,"Attchd",9,2008,"Normal",223500
70,"RL",9550,"Crawfor","1Fam","2Story",7,5,1915,1970,"TA","TA","BrkTil","TA","Gd","Y","SBrkr",961,756,1717,2,3,"Gd",7,1,"Detchd",2,2006,"Abnorml",140000
60,"RL",14260,"NoRidge","1Fam","2Story",8,5,2000,2000,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1145,1053,2198,4,4,"Gd",9,1,"Attchd",12,2008,"Normal",250000
50,"RL",14115,"Mitchel","1Fam","1.5Fin",5,5,1993,1995,"TA","TA","Wood","Gd","Ex","Y","SBrkr",796,566,1362,3,1,"TA",5,0,"Attchd",10,2009,"Normal",143000
20,"RL",10084,"Somerst","1Fam","1Story",8,5,2004,2005,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1694,0,1694,3,3,"Gd",7,1,"Attchd",8,2007,"Normal",307000
60,"RL",10382,"NWAmes","1Fam","2Story",7,6,1973,1973,"TA","TA","CBlock","Gd","Ex","Y","SBrkr",1107,983,2090,4,3,"TA",7,2,"Attchd",11,2009,"Normal",200000
50,"RM",6120,"OldTown","1Fam","1.5Fin",7,5,1931,1950,"TA","TA","BrkTil","TA","Gd","Y","FuseF",1022,752,1774,2,2,"TA",8,2,"Detchd",4,2008,"Abnorml",129900
190,"RL",7420,"BrkSide","2fmCon","1.5Unf",5,6,1939,1950,"TA","TA","BrkTil","TA","Ex","Y","SBrkr",1077,0,1077,2,2,"TA",5,2,"Attchd",1,2008,"Normal",118000
