earn,height,sex,race,ed,age
25.5073793326888,66.02,male,white,12,30
56.3781338622286,66.18,male,white,13,61
66.54283587747271,72.38,male,white,10,67
69.6914927913448,65.97,male,white,16,69
977.095394374498,63.77,female,white,16,66
978.8720908397321,63.77,female,white,10,23
980.2989995328552,64.16,female,white,16,49
981.194900092476,65.92,female,white,17,45
981.628981126362,67.19,female,white,12,33
981.6567036578699,66.13,female,white,12,33
982.1074726277292,61.11,female,white,12,31
982.603707126398,65.13,female,white,18,30
982.925263925835,63.12,female,white,8,61
984.047256808445,65.91,female,white,16,66
984.500213531472,61.15,female,hispanic,16,27
984.7618133016341,68.25,female,white,12,59
986.055083445869,63.07,female,white,5,62
986.165728698769,62.46,female,hispanic,15,63
986.228613755399,63.46,female,white,12,25
986.4492910942412,65.99,female,black,13,34
986.4551654222032,65.94,female,white,8,57
986.993627550926,64.66,female,white,12,30
987.153288063948,59.86,female,white,18,45
987.26513123966,69.01,female,white,16,43
987.4779828530541,64.33,female,white,12,64
987.783751585589,66.04,female,hispanic,11,53
987.960796526986,61.66,female,other,17,30
988.016236486753,62.18,female,white,12,37
988.1616282837808,61.2,female,white,12,53
988.565070198681,64.71,female,white,12,22
988.7587870125819,65.93,female,white,10,42
988.878651448201,64.1,female,black,16,23
989.32483001483,65.05,female,white,16,48
990.0826967744321,63.19,female,white,14,47
990.3667896886093,63.08,female,black,16,27
990.5360283899921,63.2,female,white,12,68
990.632829899077,67.9,female,white,16,45
990.807712176254,63.03,female,white,12,49
991.1244678315428,64.87,female,white,11,42
991.402309767381,62.95,female,white,12,66
991.599966272541,64.79,female,white,13,67
991.6289096806121,61.91,female,white,10,61
991.9956209725141,63.63,female,white,12,57
992.171547840471,60.73,female,white,18,49
992.8323463032268,60.06,female,white,12,31
992.8856720627961,58.99,female,black,12,47
993.102442046512,66.14,female,white,16,67
993.1580652575801,64.93,female,white,13,60
993.3959924955052,66.15,female,white,7,45
993.515449224117,66.0,female,black,12,41
993.735798257432,63.83,female,white,12,40
994.1335038639121,63.02,female,white,8,67
994.3239529301428,66.0,female,white,12,62
994.5136806987421,61.78,female,white,8,60
994.5157465079492,59.23,female,hispanic,12,50
994.593757949998,66.3,female,white,14,28
994.954167707421,64.15,female,,12,34
995.090910576791,59.91,female,hispanic,10,52
995.172315021961,67.35,female,white,11,41
995.374617537821,64.18,female,white,18,50
995.4657571913301,66.19,female,black,5,55
995.4754883862132,65.81,female,white,12,40
995.486049534476,60.97,female,white,13,46
995.554489598849,63.08,female,white,11,69
995.580464467877,62.15,female,black,16,40
995.746579569306,65.19,female,white,11,61
995.78153389181,65.21,female,white,12,50
996.182111287872,66.31,female,other,16,36
996.243150686733,61.78,female,black,14,65
996.561743690155,67.74,female,white,14,39
996.67215235483,64.96,female,black,6,71
996.828601796463,71.96,female,white,12,55
